offer_id,origin,destination,cabin,fare_basis,base_fare_aud,taxes_aud,total_aud,seats_available,source,valid_until
OF-Q3FGAP6E,HND,VLI,Economy,YOW25AU,1461.0,255.78,1716.78,4,Amadeus NDC,2026-06-23
OF-3J6EQ0FG,SYD,MEL,Economy,YOW17AU,281.0,61.42,342.42,6,Sabre GDS,2026-06-18
OF-9AL4YPK2,DPS,ADL,Economy,YRT13AU,2036.0,238.5,2274.5,2,Sabre GDS,2026-06-18
OF-WJRTFRUB,PER,APW,Economy,YRT13AU,1369.0,295.14,1664.14,9,SabreMosaic Offer,2026-06-19
OF-R70HR7E9,DPS,DRW,Economy,YOW18AU,2255.0,468.48,2723.48,6,Amadeus EDIFACT,2026-06-29
OF-6EBEASPC,LAX,NAN,Economy,YOW19AU,2048.0,247.26,2295.26,9,Amadeus EDIFACT,2026-06-27
OF-KTFVF8PK,HKG,NAN,Economy,YRT19AU,1473.0,161.87,1634.87,2,Amadeus NDC,2026-06-22
OF-DVMHAJAL,HBA,MEL,Economy,YRT18AU,442.0,50.35,492.35,9,Amadeus NDC,2026-06-29
OF-HBX3T9ES,CBR,OOL,Economy,YOW22AU,357.0,67.1,424.1,8,Amadeus NDC,2026-06-16
OF-GHQ8ACAR,SIN,APW,Economy,YOW22AU,972.0,126.96,1098.96,6,Amadeus NDC,2026-06-18
OF-R2WTEZH8,OOL,MEL,Economy,YOW12AU,434.0,55.09,489.09,4,SabreMosaic Offer,2026-06-16
OF-VWF5AZNU,DPS,BNE,Economy,YRT30AU,1228.0,236.79,1464.79,4,Amadeus NDC,2026-06-25
OF-RKA2BQYA,SIN,CNS,Economy,YRT7AU,1769.0,338.34,2107.34,7,SabreMosaic Offer,2026-06-27
OF-DKTFCQ92,DRW,PER,Economy,YRT21AU,341.0,51.28,392.28,2,SabreMosaic Offer,2026-06-24
OF-D3JRUSW1,ADL,HND,Economy,YRT17AU,803.0,137.34,940.34,8,Amadeus EDIFACT,2026-06-17
OF-L45W2HYP,CNS,ADL,Economy,YRT16AU,275.0,32.63,307.63,8,Amadeus EDIFACT,2026-06-17
OF-CPWKFRY1,BNE,CNS,Economy,YOW28AU,375.0,74.69,449.69,5,Amadeus EDIFACT,2026-06-18
OF-RG5GJHAD,SYD,NAN,Economy,YOW11AU,1788.0,339.31,2127.31,4,SabreMosaic Offer,2026-06-21
OF-SEBEN4JF,HND,VLI,Premium,WRT10AU,1561.8,265.32,1827.12,1,Sabre GDS,2026-06-16
OF-B03MYPMT,OOL,APW,Economy,YRT21AU,2133.0,314.4,2447.4,3,Amadeus EDIFACT,2026-06-25
OF-6DFT0J2N,APW,HBA,Economy,YOW27AU,1671.0,249.71,1920.71,9,SabreMosaic Offer,2026-06-22
OF-8W0TMBWQ,MCY,HKG,Economy,YOW15AU,1642.0,231.99,1873.99,1,SabreMosaic Offer,2026-06-23
OF-GRRTDQ0Y,HKG,MCY,Economy,YOW12AU,1126.0,244.2,1370.2,4,SabreMosaic Offer,2026-06-28
OF-KN7VM7CF,MCY,APW,Economy,YOW14AU,2084.0,296.35,2380.35,4,Amadeus EDIFACT,2026-06-23
OF-XMWDBKKH,SYD,MCY,Premium,WRT9AU,613.7,120.76,734.46,6,SabreMosaic Offer,2026-06-26
OF-L37WMYQM,DPS,APW,Economy,YRT16AU,1268.0,175.89,1443.89,5,Amadeus EDIFACT,2026-06-27
OF-CMWQG7KX,SYD,APW,Economy,YOW14AU,2228.0,480.85,2708.85,6,Sabre GDS,2026-06-18
OF-X4ASPREY,VLI,BNE,Economy,YRT10AU,2022.0,357.27,2379.27,1,Amadeus EDIFACT,2026-06-23
OF-Y0G6QL4E,NAN,OOL,Economy,YOW16AU,1659.0,341.44,2000.44,1,Amadeus NDC,2026-06-17
OF-EFX6B3L3,BNE,MCY,Economy,YOW8AU,412.0,49.16,461.16,2,Amadeus NDC,2026-06-19
OF-UVRGD17K,NAN,LAX,Economy,YOW18AU,2144.0,353.36,2497.36,1,Amadeus NDC,2026-06-20
OF-PLUF6HV1,HND,VLI,Economy,YRT22AU,1058.0,118.11,1176.11,5,Amadeus EDIFACT,2026-06-24
OF-4CS45SQT,DPS,OOL,Economy,YOW11AU,1431.0,206.53,1637.53,2,Amadeus EDIFACT,2026-06-21
OF-D0926R6V,DOH,NAN,Business,JOW19AU,6313.8,803.76,7117.56,1,Amadeus NDC,2026-06-24
OF-LPNJC3F3,LAX,VLI,Economy,YOW27AU,2200.0,338.55,2538.55,3,SabreMosaic Offer,2026-06-20
OF-T95A92H2,TSV,BNE,Economy,YOW11AU,423.0,70.32,493.32,2,Sabre GDS,2026-06-25
OF-S076CMT1,PER,TSV,Economy,YOW26AU,396.0,81.32,477.32,7,Amadeus EDIFACT,2026-06-21
OF-BXVVT7GQ,HBA,MEL,Economy,YOW16AU,357.0,74.13,431.13,8,SabreMosaic Offer,2026-06-21
OF-P279ZD8L,CBR,AKL,Economy,YOW16AU,832.0,101.96,933.96,9,Amadeus NDC,2026-06-28
OF-NDRC5DZN,HKG,APW,Economy,YRT18AU,1044.0,214.04,1258.04,8,Amadeus NDC,2026-06-26
