event_id,flight_number,origin,destination,scheduled_departure_utc,event_type,delay_minutes,new_departure_utc,reason,affected_pnrs,raised_utc
OPS-SFUB0D,VA141,TSV,HND,2026-07-07T02:45:00Z,CANCELLED,0,,Engineering — aircraft swap unavailable,QF3GG4,2026-07-06T21:24:28Z
OPS-PQQPT2,VA1974,LAX,CNS,2026-06-20T22:05:00Z,CANCELLED,0,,Weather (destination),VGBV01,2026-06-20T16:41:32Z
OPS-A6JMAQ,VA1770,DRW,SIN,2026-06-13T22:10:00Z,DIVERSION,0,,Medical diversion,5C4NW6,2026-06-13T17:55:44Z
OPS-T30Y5S,VA244,DRW,BNE,2026-06-26T19:45:00Z,DIVERSION,0,,Weather at destination,1ZXZKN,2026-06-26T16:08:59Z
OPS-1GA8ZU,VA1707,LAX,NAN,2026-06-18T21:05:00Z,CANCELLED,0,,Crew shortage,XS775L,2026-06-18T16:30:12Z
OPS-TWTSVN,VA1399,VLI,NAN,2026-06-25T01:30:00Z,DELAY,90,2026-06-25T03:00:00Z,Weather (origin),YHM19J,2026-06-24T21:40:19Z
OPS-1WJB7U,VA1594,MEL,OOL,2026-06-28T14:00:00Z,DELAY,45,2026-06-28T14:45:00Z,Crew connection,48QC9V,2026-06-28T08:25:08Z
OPS-NXQ6Y8,VA1889,HKG,ADL,2026-06-20T17:10:00Z,DELAY,45,2026-06-20T17:55:00Z,Crew connection,FNDT0C,2026-06-20T11:51:44Z
OPS-MUG6JS,VA597,OOL,LAX,2026-07-06T01:05:00Z,CANCELLED,0,,Engineering — aircraft swap unavailable,7JVRSK,2026-07-05T19:19:19Z
OPS-FQYQV2,VA1118,VLI,CNS,2026-06-25T11:30:00Z,DIVERSION,0,,Medical diversion,6R1V5E,2026-06-25T08:19:38Z
OPS-5H6DE6,VA1255,APW,HND,2026-06-15T18:10:00Z,CANCELLED,0,,Engineering — aircraft swap unavailable,X3GAGS,2026-06-15T14:24:52Z
OPS-09V2DK,VA1708,DOH,NAN,2026-07-05T15:30:00Z,DIVERSION,0,,Weather at destination,TCZP44,2026-07-05T09:32:03Z
